running ID,Niskin_Id,grouping_col,Event,Latitude,Longitude,Bottle,Date,Potemp090C,Potemp190C,PrDM,DepSM,T090C,T190C,Sal00,Sal11,Sbeox0_umol/L,Sbeox1_umol/L,FlECO-AFL,Spalte1,Depth_(m),Fix_Temp_C,C(O2)_umol/L,Flag,Fix_Temp_C_dup,C(O2)_umol/L_dup,Flag_dup,NO3+NO2_mean,QF,NO3+NO2_std,QF.1,NO3+NO2_CF,QF.2,NO3+NO2_c_mean,QF.3,NO3+NO2_c_std,QF.4,NO2_mean,QF.5,NO2_std,QF.6,NO2_CF,QF.7,NO2_c_mean,QF.8,NO2_c_std,QF.9,Si(OH)4_mean,QF.10,Si(OH)4_std,QF.11,Si(OH)4_CF,QF.12,Si(OH)4_c_mean,QF.13,Si(OH)4_c_std,QF.14,PO4_mean,QF.15,PO4_std,QF.16,PO4_CF,QF.17,PO4_c_mean,QF.18,PO4_c_std,QF.19,NH4_mean,QF.20,NH4_std,QF.21,NH4_CF,QF.22,NH4_c_mean,QF.23,NH4_c_std,QF.24,TDN_mean,QF.25,TDN_std,QF.26,TDN_CF,QF.27,TDN_c_mean,QF.28,TDN_c_std,QF.29,TDP_mean,QF.30,TDP_std,QF.31,TDP_CF,QF.32,TDP_c_mean,QF.33,TDP_c_std,QF.34,Density_at_lab_temp,Density_Anomaly_at_lab_temp,Density_at_fix_temp,NO3+NO2_c_mean_umolkg,NO3+NO2_c_std_umolkg,NO2_c_mean_umolkg,NO2_c_std_umolkg,Si(OH)4_c_mean_umolkg,Si(OH)4_c_std_umolkg,PO4_c_mean_umolkg,PO4_c_std_umolkg,NH4_c_mean_umolkg,NH4_c_std_umolkg,TDN_c_mean_umolkg,TDN_c_std_umolkg,TDP_c_mean_umolkg,TDP_c_std_umolkg,C(O2)_umol/L_umolkg
11,PS138_2-1-N11,PS138_2-1_150,PS138_2-1,80.948096,15.35065,11,Aug 06 2023,3.1227,3.1229,151.749,150.084,3.1323,3.1325,34.9682,34.9686,306.54,312.17,-0.0262,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.045631,1.025045631,,,,,,,,,,,,,,,,
12,PS138_2-1-N12,PS138_2-1_100,PS138_2-1,80.948096,15.35065,12,Aug 06 2023,0.6092,0.6544,101.274,100.175,0.6134,0.6586,34.6086,34.6083,311.82,318.99,-0.0549,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.769626,1.024769626,,,,,,,,,,,,,,,,
13,PS138_2-1-N13,PS138_2-1_10,PS138_2-1,80.948096,15.35065,13,Aug 06 2023,0.6121,0.6253,101.269,100.17,0.6162,0.6295,34.6084,34.6087,311.95,317.25,-0.0268,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.769472,1.024769472,,,,,,,,,,,,,,,,
14,PS138_2-1-N14,PS138_2-1_50,PS138_2-1,80.948096,15.35065,14,Aug 06 2023,-1.7322,-1.727,50.411,49.871,-1.7312,-1.726,34.1732,34.1771,348.36,357.05,0.4238,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.435441,1.024435441,,,,,,,,,,,,,,,,
15,PS138_2-1-N15,PS138_2-1_50,PS138_2-1,80.948096,15.35065,15,Aug 06 2023,-1.7314,-1.7308,50.442,49.901,-1.7304,-1.7298,34.1717,34.1712,349.12,356.87,0.4506,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.43429,1.02443429,,,,,,,,,,,,,,,,
16,PS138_2-1-N16,PS138_2-1_50,PS138_2-1,80.948096,15.35065,16,Aug 06 2023,-1.7346,-1.7194,50.447,49.905,-1.7336,-1.7184,34.1704,34.1761,348.41,356.21,0.516,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.433292,1.024433292,,,,,,,,,,,,,,,,
17,PS138_2-1-N17,PS138_2-1_25,PS138_2-1,80.948096,15.35065,17,Aug 06 2023,-1.3872,-1.4006,25.048,24.781,-1.3867,-1.4001,33.9089,33.915,371.46,380.13,1.7098,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.232582,1.024232582,,,,,,,,,,,,,,,,
18,PS138_2-1-N18,PS138_2-1_25,PS138_2-1,80.948096,15.35065,18,Aug 06 2023,-1.383,-1.3861,25.044,24.777,-1.3824,-1.3856,33.9067,33.9081,371.29,380.06,1.617,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.230893,1.024230893,,,,,,,,,,,,,,,,
19,PS138_2-1-N19,PS138_2-1_25,PS138_2-1,80.948096,15.35065,19,Aug 06 2023,-1.3849,-1.3861,25.035,24.768,-1.3844,-1.3855,33.908,33.9078,371.68,380.62,1.7362,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.231891,1.024231891,,,,,,,,,,,,,,,,
20,PS138_2-1-N20,PS138_2-1_25,PS138_2-1,80.948096,15.35065,20,Aug 06 2023,-1.3862,-1.3883,25.026,24.759,-1.3856,-1.3878,33.9081,33.9095,372.14,377.71,1.6055,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.231967,1.024231967,,,,,,,,,,,,,,,,
