asv	TDN_c_mean	NH4_c_mean	lat	NO2_c_mean	NO3.NO2_c_mean	lon	PO4_c_mean	TDP_c_mean	Si.OH.4_c_mean
asv2378	0.3	0.14	0.08	-0.12	-0.17	0.16	0.17	0.25	0.15
asv2388	0.32	0.11	0.1	-0.14	-0.2	0.19	0.26	0.36	0.25
asv2389	0.44	0.21	0.18	0.01	-0.14	0.04	0.23	0.3	0.15
asv2401	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv2408	0.44	0.2	0.19	0.05	-0.12	0.02	0.24	0.31	0.17
asv2474	0.07	-0.16	0.15	0.12	-0.01	-0.02	0.33	0.38	0.41
asv2490	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv2515	0.08	-0.09	0.14	0.15	0.02	-0.08	0.23	0.25	0.26
asv2604	0.3	-0.04	0.25	0.18	-0.05	-0.06	0.43	0.49	0.45
asv2626	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv2643	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv2648	0.5	0.34	0.21	0.17	-0.04	-0.13	0.09	0.1	-0.07
asv2659	0.67	0.41	0.35	0.37	0.01	-0.29	0.18	0.19	-0.03
asv2670	0.35	0.04	0.23	0.12	-0.08	-0.02	0.38	0.45	0.37
asv2763	0.49	0.34	0.18	0.1	-0.08	-0.07	0.09	0.11	-0.06
asv2831	0.51	0.24	0.22	0.06	-0.14	0.02	0.27	0.35	0.19
asv2874	0.45	0.28	0.21	0.18	-0.03	-0.13	0.11	0.13	-0.03
asv2880	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv2933	0.23	-0.01	0.11	-0.09	-0.17	0.17	0.32	0.42	0.37
asv2945	0.13	-0.13	0.19	0.15	-0.02	-0.04	0.37	0.42	0.43
